,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features,sub_category_2_original,sub_category_3_original,brewery_original
10713,110718,Sicoris Red,7456,4.834999999999999,Beer,Ale,3,0,"Sicoris is an impressive blend of Garnacha, Cabernet Sauvignon, Tempranillo and a touch of Merlot and Syrah. This medium bodied wine has a beautiful garnet color and aromas of violets and cedar. Your tastbuds can expect flavors of black cherry, black currant, smooth-texture, floral, spice box and cedar.",Lleida,Spain,6.5,35.0,,,,"Grilled steak, Spicy sausage, Dark chocolate",,,,,,Belgian-Style Ale,,Sicoris
10750,110755,Sir Williams Brown Ale,7495,4.686000000000002,Beer,Ale,7,0,"The English do it right, there is no doubt. But Texans do it better. This brown ale is based off of the traditional English style brown ale but carries a heartier malt profile and a more balanced approach to the style for the American palette. With a light to medium body, the Sir William’s is easy drinking but doesn’t lack in complexity from roasted and specialty malts. This beer is hopped with traditional Goldings and Target hops. Let’s face it, when you’ve been mayor for almost 40 years, you deserve your own beer. This is our tribute to all those who have served our community and continue to do so. We hope you like it, because we do.",Herefordshire,United Kingdom,4.9,32.0,,,,"BBQ ribs, Gouda cheese, Chocolate dessert","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,,,Brown Ale,,Sir Williams
10751,110756,Siren Barrel-Aged Lemon Cello IPA,7496,3.933999999999999,Beer,Ale,15,32,"This unique between Siren, Hill Farmstead & Mikkeller is aged in bourbon barrels and fondly called ""Whiskey Sour"" in the UK.",Berkshire,United Kingdom,10.2,50.0,,,,"Spicy Thai curry, Grilled shrimp, Lemon tart",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,IPA,Imperial / Double IPA,Siren Craft Brew
10771,110776,Slaapmutske Organic Tripel,7540,4.651,Beer,Ale,3,58,"Slaapmutske Tripel is a golden, blond beer of top-fermentation with refermentation in the bottle. To brew this beer of 8,1 alcohol Vol% pale and coloured barley malt is used. The fresh aroma and the spicy taste are due to the use of 2 very aromatic hop varieties. The mouth feeling is malty and ends in a full-flavoured bitter after-taste. The refermentation provides a fine and creamy foam that sticks to the glass.",Melle,Belgium,8.1,27.0,,,,"Spicy Thai curry, Grilled chicken, Belgian waffles",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Tripel,Slaapmutske
10864,110869,Something Brewery Tangerine Machine Cream Ale,7656,4.693333333333335,Beer,Ale,10,0,"Cream ale with tangerine, cherry, and raspberry.",Brighton,United Kingdom,5.1,20.0,,,,"Spicy chicken wings, Grilled shrimp tacos, Citrus salad",Pint Glass,45-50° F,7.2-10.0° C,,,Cream Ale,,Something Brewery
10967,110972,St Bernardus Pater 6 Belgian Dubbel,7794,4.434999999999998,Beer,Ale,3,21,"From Brouwerii St. Bernard in Belgium, this is a traditional abbey style dubbel, chestnut in color, very fruity with notes of melon and very fresh banana, finishing with slight bitterness. Delightfully easy to drink.",Watou,Belgium,6.7,22.0,,,,"Beef, Pork, Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Dubbel,St. Bernardus
10968,110973,St. Bernardus Pater 6 Dubbel,7794,4.5429999999999975,Beer,Ale,3,21,"This Paterke is not just any old brown beer: it unites the deep flavour of specialty malt with the lively fruitiness of ripe tree fruits. Impressions of hazelnut and mocha lie at the basis of the mouth feel, which flows into an excellent yet playful duel between the mild taste of dark candy sugar and a slightly toasted but dry grain character. Plenty of apple and pear aromas make their magnificent presence felt all the way to the slightly bitter aftertaste.",Watou,Belgium,6.7,25.0,,,,"Beef, Pork, Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Dubbel,St. Bernardus
10969,110974,St. Bernardus Abt 12 Methuselah Quadrupel,7794,4.856,Beer,Ale,3,49,"St. Bernardus Abt 12 is widely regarded as one of the best beers in the world. It is therefore no surprise that it is our brewery’s flagship beer, ranked at the very top of the St. Bernardus beer hierarchy. It is brewed in the classic quadrupel style and adheres to the original 1946 recipe.
Colour

This is a dark beer with a robust head that is ivory in colour.
Characteristics

Color: Dark
Type of beer: Quadruple / Top fermentation
Alcohol degree: 10 %
° Plato: 20
Recommended pouring temperature: 8 - 12 °C
Color (EBC): 60
Bitterness (EBU): 20
Shelf life: 4 years (bottle) / 1,5 years (keg)
Packaging: Bottle: 33 cl / 75 cl - Keg: 20 L",Watou,Belgium,10.0,20.0,,,,"Beef, Dark Chocolate, Blue Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Quadrupel,St. Bernardus
10970,110975,St. Bernardus Abt 12 Quadrupel,7794,4.856,Beer,Ale,3,49,"St.Bernardus Abt 12 has a very fruity aroma that is the result of using our own unique yeast. It brims over with different, complex tastes and stands out through its long, bittersweet finish. Thanks to its mild, rounded taste and perfect balance between bitter and sweet, this beer goes down very easily. When you drink an Abt you can enjoy life to the full!",Watou,Belgium,10.0,20.0,,,,"Chocolate, Steak, Blue Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Quadrupel,St. Bernardus
10971,110976,St Bernardus Oak Aged Abt 12,7794,4.7940000000000005,Beer,Ale,3,49,St Bernardus Abt matured for 6 months in Oak Calvados barrels,Watou,Belgium,11.0,20.0,,,,"Beef, Chocolate, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Quadrupel,St. Bernardus
10972,110977,St. Bernardus Barrel-Aged Sour Abt 12,7794,4.773,Beer,Ale,3,49,"St.Bernardus Abt 12 is the flagship beer of Brewery St.Bernardus and is considered as one of the best beers in the world. The Abt 12 is brewed according to an original recipe from 1946. St.Bernardus Abt 12 Barrel Aged Sour is brewed with that same recipe. After the brew, we let the beer rest in Oak barrels for 3 years. This beer aging lets the beer go sour. In June 2019 we blended it with freshly brewed Abt 12 and bottled it in 75cl bottles. Balanced in flavours, perfect as can be, heavenly nectar within your reach.",Watou,Belgium,10.0,15.0,,,,"Charcuterie, Duck Confit, Dark Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Quadrupel,St. Bernardus
10973,110978,St. Bernardus Brewing Christmas Ale,7794,4.856,Beer,Ale,3,49,"St. Bernardus Christmas Ale is a dark, seasonal beer, full of wintery character and flavours that we brew every year ready for the festive season. St.Bernardus Christmas Ale is an intensely dark beer with a full, yet slightly fruity flavour, overflowing with the tastes of winter and zesty seasonal aromas. Simply stated, St.Bernardus Christmas Ale is the perfect degustation beer to warm your heart and bring a glow to your loved ones on a cold winter night.",Watou,Belgium,10.0,20.0,,,,"Roast duck, Dark chocolate, Spiced nuts",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Quadrupel,St. Bernardus
10974,110979,St Bernardus Abt 12,7794,4.8,Beer,Ale,3,0,"The St. Bernardus Abt 12 is the pride of our stable, this Abbey ale is brewed in the classic 'Quadrupel' style of Belgium's best Abbey Ales. Dark with a full, ivory-colored head. It has a fruity aroma, full of complex flavours and excels because of its long bittersweet finish with a hoppy bite. (10,0% ABV) Worldwide seen as one of the best beers in the world. It's a very balanced beer, with a full-bodied taste and a perfect equilibrium between malty, bitter and sweet. One of the original recipes from the days of license-brewing for the Trappist monks of Westvleteren.",Watou,Belgium,10.0,20.0,,,,"Beef, Chocolate, Cheese",,,,,,Belgian-Style Ale,,St. Bernardus
10976,110981,St. Feuillien Speciale Belgian Abbey Ale,7798,4.829000000000001,Beer,Ale,3,9,"This beer has a white, smooth and very compact head. Its pale amber colour is very characteristic revealing a distinctive maltiness. It has a rich aroma with a unique combination of aromatic hops, spices and the typical bouquet of fermentation – very fruity. Secondary fermentation in the bottle gives it a unique aroma due to the presence of yeast. St-Feuillien Triple has a very strong and exceptionally lingering taste thanks to its density and its long storage period. Whether served as a refreshing aperitif in summer or savoured during the winter months, the Triple is a connoisseur’s beer par excellence.",Le Roeulx,Belgium,5.2,30.0,,,,"Cheese, Charcuterie, Grilled Chicken",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Belgian Strong Ale,St. Feuillien
10977,110982,St Feuillien Brune,7798,4.514999999999999,Beer,Ale,3,21,This brown ale has a marked ruby brown colour with a generous and lasting head. It has a distinctive aroma reflecting the wide range of ingredients used in its production. The fruitiness resulting from its fermentation blends harmoniously with a dominant liquorice and caramel flavour. The body is decidedly malty. The bitterness is the result of a complex alchemy between the fine hops and special malts used. These give St Feuillien Brune a typical dark chocolate appearance.,Le Roeulx,Belgium,8.5,15.0,,,,"Beef, Lamb, Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Dubbel,St. Feuillien
10978,110983,St. Feuillien Saison,7798,4.660999999999996,Beer,Ale,3,53,"St-Feuillien’s Saison is what the Belgians call a beer of the terroir, a traditional farmhouse ale with all the rich savour of the fertile land of southern Belgium. Saison, a warm golden blonde beer, is a top-fermented classique. Thanks to secondary fermentation in the bottle, Saison has an unmistakable flavour full of rich nuances and a slight tang. Judge for yourself.",Le Roeulx,Belgium,6.5,25.0,,,,"Seafood, Grilled Chicken, Spicy Thai Cuisine",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,St. Feuillien
10979,110984,St. Feuillien Tripel,7798,4.782,Beer,Ale,3,58,"This beer has a white, smooth and very compact head. Its pale amber colour is very characteristic revealing a distinctive maltiness. It has a rich aroma with a unique combination of aromatic hops, spices and the typical bouquet of fermentation – very fruity. Secondary fermentation in the bottle gives it a unique aroma due to the presence of yeast. St-Feuillien Triple has a very strong and exceptionally lingering taste thanks to its density and its long storage period. Whether served as a refreshing aperitif in summer or savoured during the winter months, the Triple is a connoisseur’s beer par excellence.",Le Roeulx,Belgium,8.5,30.0,,,,"Mussels, Roast Chicken, Belgian Waffles",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Tripel,St. Feuillien
10980,110985,St. Martin Tripel,7805,4.686,Beer,Ale,3,58,Three varieties of malt and three of hops create the robust character of this St. Martin triple abbey ale. Abbye St. Martin Ales are pure Belgium.,Puurs,Belgium,9.0,20.0,,,,"Spicy Thai curry, Roasted chicken, Triple cream brie",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Tripel,St. Martin
10981,110986,St Peters Golden Ale,7813,4.672000000000001,Beer,Ale,13,0,"""English Halcyon malts are used together with lager malts. Golding hops provide the bitterness and aroma. The result is a highly distinctive light, golden ale similar in character to a full bodied Czech lager.""",Suffolk,United Kingdom,4.7,32.0,,,,"Fish, Chicken, Salad",Pint Glass,45-50° F,7.2-10.0° C,Craft,,Golden / Blonde Ale,,St. Peter's Brewery
10982,110987,St. Sebastiaan Grand Reserve,7815,4.82,Beer,Ale,3,9,A single batch of St. Sebastiaan Grand Réserve is brewed each year. This limited edition release from Brewery Sterkens is brewed with utmost care to be one of the finest beers in the world.,Bruges,Belgium,10.0,10.0,,,,"Steak, Dark Chocolate, Blue Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Belgian Strong Ale,St. Sebastiaan
10983,110988,St Sebastiaan Golden Belgian Tripel,7815,4.622999999999999,Beer,Ale,3,58,"A slightly bitter, golden colored beer with a good head.",Bruges,Belgium,7.6,25.0,,,,"Spicy Thai curry, Roasted chicken, Triple cream cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Tripel,St. Sebastiaan
10984,110989,Straffe Hendrik Bruges Tripel Ale,7820,4.8210000000000015,Beer,Ale,3,58,"Straffe Hendrik Tripel is a golden triple with a sturdy white collar. The aroma is spicy with hints of black pepper, coriander and ginger, and is even insinuating the presence of oranges. The beer is brewed with a selection of Saaz and Styrian hops of a very high quality. The subtle blend of six special varieties of malt gives the beer a well-balanced and powerful taste. The palate initiates a hint of caramel, soon flowing into a certain bitterness. In the finish one can discover citrus fruits and even subtle flavours of banana.",Bruges,Belgium,9.0,30.0,,,,"Mussels, Roast Chicken, Belgian Waffles",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Tripel,Staffe Hendrik
11004,111009,Stella Artois Holiday Gift Pack,7870,4.800000000000001,Beer,Ale,3,0,"With its wonderful floral aroma, well-balanced malt sweetness, crisp hop bitterness and soft dry finish, Stella Artois is the perfect beer to pair with food and friends. Serve in its signature glass chalice to enhance flavor and aroma. Pairs well with steak, mussels, and chocolate desserts. 5% alcohol by volume. Includes 2 Limited Edition Stella Artois Holiday chalices.",Leuven,Belgium,5.0,26.0,,,,"Cheese, Charcuterie, Roast Chicken",,,,,,Belgian-Style Ale,,Stella Artois
11017,111022,Gregorius,7895,4.888,Beer,Ale,3,9,"The first bottles of beer which, since 1 June 2012 The first Variety called Gregorius and is a dark triple with in the first batch 9.7 vol% Alc. available in 0.33 liter bottles.",Engelhartszell,Austria,9.7,30.0,,,,"Steak, Chocolate, Blue Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Belgian Strong Ale,Stift-Engelzell
11018,111023,Stift-Engelzell Benno Trappist,7895,4.844999999999999,Beer,Ale,3,0,"With an intense shade of red that Benno reminiscent    of a sunny autumn day in the Danube valley.    The fine bubbles forms a compact foam,    which complex, spicy, grassy hops aromas releases.    After a lean Antrunk of Alsatian hops plays    the variety Strissel Saplter his strength and spiciness  from!    supported by pleasant malt aroma,    sounds from this Trappist beer with an intense, harmonious bitter.",Engelhartszell,Austria,7.2,25.0,,,,"Cheese, Charcuterie, Grilled Sausages",,,,,,Belgian-Style Ale,,Stift-Engelzell
11099,111104,Brouwerij Straffe Hendrik Wild,7939,4.843999999999996,Beer,Ale,3,0,"Henry Wild penalty is only once a year bottled. The official release date for the 2015 edition is April 24! Contact your local dealer or liquor store for your bottles!    Enter quickly your email address at the bottom of this page and be first to know about all the pain news about this beer!       Tall Hendrik Wild is a wild version of the famous Tall Hendrik Tripel. This traditional beer is re-fermented with ""Brettanomyces' yeast, which creates separate fruity flavors that harmonize with the rich use of aromatic hop varieties.    The wild yeasts give the beer a longer shelf life and flavor natural evolution over the years. The beer has a longer aging in bottle needed before it can be released.    Only after three months in the cellars of the wild yeast fermentation is completed and the young beer drinking. However, the beer continues to evolve in the years following. The bitter hop aroma is softer, while the wild yeasts continue to work and are fruity and floral aromas.",Bruges,Belgium,9.0,25.0,,,,"Cheese, Charcuterie, Spicy Thai dishes",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,,Straffe Hendrik
11100,111105,Straffe Hendrik Heritage,7939,4.790000000000002,Beer,Ale,3,49,"Belgium- Quadrupel- 11.0% ABV. Pours a beautiful brown color with a creamy head. A malty, yeasty aroma with notes of dark fruit, plums, raisins, caramel & Belgian yeast. A creamy taste of molasses, bready malts, caramel, yeast & dark fruit. Finishes with a kick of floral hops!",Bruges,Belgium,11.0,30.0,,,,"Steak, Blue Cheese, Dark Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Quadrupel,Straffe Hendrik
11101,111106,Straffe Hendrik Quad,7939,4.779000000000002,Beer,Ale,3,49,"the last active brewery in the historical city of Bruges. The town archives first mention the brewery in 1546. Since 1856, the famous brewing family Maes-Vanneste has owned the brewery.",Bruges,Belgium,11.0,24.0,,,,"Grilled steak, Dark chocolate, Blue cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Quadrupel,Straffe Hendrik
11102,111107,Straffe Hendrik Xmas Blend,7939,4.790000000000002,Beer,Ale,3,49,Straffe Hendrik is a powerful beer with rich flavours of malt and hop.,Bruges,Belgium,11.0,30.0,,,,"Roast duck, Stilton cheese, Dark chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Quadrupel,Straffe Hendrik
11103,111108,Straffe Hendrik Belgian Ale,7939,4.824999999999999,Beer,Ale,3,0,"Straffe Hendrik is a Bitter Tripel Ale of 9% abv. The beer was originally from Bruges and brewed in Bruges by brewery De Halve Maan.

In 1981, Henri Maes and his daughter Véronique followed the demand of the mayor and created a strong blond beer for the inauguration of the statue of Sint-Arnoldus, the saint of all beer-brewers. However, the beer became so popular, that the demand for the beer continued. It was given the name of Straffe Hendrik (Strong Hendrick), since it was a rich and strong beer.

Today, Straffe Hendrik is the last authentic Tripel Ale of Bruges.",Bruges,Belgium,11.0,27.0,,,,"Cheese, Steak, Chocolate.",,,,,,Belgian-Style Ale,,Straffe Hendrik
11104,111109,Straffe Hendrik Tripel,7939,4.8210000000000015,Beer,Ale,3,58,"The last authentic Tripel Style Beer brewed in Bruges Straffe Hendrik was an authentic Bruges' Tripel beer: a strong and rich beer with lots of flavours (malt, caramel and hop) and 9% abv. In the past, lots of Bruges' breweries produced a Tripel Style Bruges' Ale, a ‚ÄúBrugse Tripel‚Äù. In fact, it was a local speciality. Today, Straffe Hendrik is the last authentic Bruges' Tripel Beer. In 1988, the label was transferred to another brewery and the production in Bruges decreased until it stopped completely. In 2008, exactly 20 years later, Xavier Vanneste brought the label back to Bruges. Ever since, Straffe Hendrik is being brewed in Bruges according to the original recipe and enjoys once again an excellent reputation amongst the people of Bruges who have ""their Tripel"" back. Straffe Hendrik, a rich bitter ale Straffe Hendrik brewed with a subtle mixture of 6 different kinds of malt. The taste is strong with a lot of hop (Saaz and Styrian Golding) of the best quality. The second fermentation in the bottle assures a longer shelf life. Straffe Hendrik is a very rich beer with lots of flavours.",Bruges,Belgium,9.0,30.0,,,,"Spicy Thai curry, Grilled pork chops, Belgian waffles",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Tripel,Straffe Hendrik
11105,111110,Straffe Hendrik Wild Tripel,7939,4.739000000000001,Beer,Ale,3,58,"This is the regular Straffe Hendrik Tripel, but this time fermented with wild Brettanomyces yeast strains.",Bruges,Belgium,9.0,20.0,,,,"Spicy Thai curry, Grilled pork chops, Sharp cheddar cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Tripel,Straffe Hendrik
11128,111133,Sullivan's Irish Gold Ale,7983,4.772,Beer,Ale,13,0,Traditionally Brewed With Lightly Roasted Cara Malt And Finished With First Gold Aroma Hops.,Kilkenny,Ireland,5.2,28.0,,,,"Fish and chips, Shepherd's pie, Irish cheddar cheese",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Sullivan's
11350,111355,Thiriez Amber Farmhouse,8340,4.804000000000003,Beer,Ale,3,53,"A joint beer venture between a Kentish and Flanders Craft Brewery using quality brewing ingredients.   Formerly known as Thiriez Xxtra, a special version of Etoile du Nord for the US market.",Esquelbecq,France,6.5,25.0,,,,"Pork, Cheese, Spicy dishes",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,Thiriez
11351,111356,Thiriez Blonde Dry Hopped Farmhouse Ale,8340,4.804000000000003,Beer,Ale,3,53,"Daniel Thiriezs rustic little brick-and-beam brewery graces the village of Esquelbecq, plunk in the middle of the rolling farm country of French Flanders. With a brewing degree from a Belgian university, and decidedly Belgian-oriented, Monsieur Thiriez makes ales with an earthy, slightly wild character that recalls the early days of farmhouse brewing, before there was a border between France and Belgium. The delicate spicy champagne aromas of this thirst-quenching blonde beauty are quickly followed by a bracing rush of whole fresh hops.",Esquelbecq,France,6.5,25.0,,,,"Seafood, Chicken, Salad",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,Thiriez
11352,111357,Thiriez Extra Dry Hopped Farmhouse Ale,8340,4.836,Beer,Ale,3,53,"A joint beer venture between a Kentish and Flanders Craft Brewery using quality brewing ingredients.   Formerly known as Thiriez Xxtra, a special version of Etoile du Nord for the US market.",Esquelbecq,France,6.5,35.0,,,,"Cheese, Charcuterie, Grilled Chicken",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,Thiriez
11370,111375,Thornbridge Wild Raven Black IPA,8368,4.266999999999997,Beer,Ale,15,14,"Originally released a for the Chesterfield CAMRA festival.  Renamed as Wild Raven in 2013 due to another beer going by the name ""Raven"" elsewhere The recipe for the brew came from James Kemp, who joined the team a few months ago. Previously crowned the New Zealand Home Brewing Champion in 2008 and winner of a Liberty Award, Kemp used Maris Otter, Black Patent and Chocolate malt along with Nelson Sauvin, Centennial and Sorachi hops. The beer, called Raven, has bitterness and hop character and plenty of malt flavours to give it complexity. James moved on to Buxton brewery and is now a freelance brewer",Bakewell,United Kingdom,6.6,55.0,,,,"Spicy BBQ ribs, Blue cheese, Dark chocolate",Pint Glass,45-50° F,7.2-10.0° C,,,IPA,Black IPA,Thornbridge
11416,111421,Timmermans Strawberry,8422,4.824000000000001,Beer,Ale,3,0,"For anyone who finds strawberries irresistible, Timmermans Strawberry evokes the fragrance of long sunny days. Its strawberry flavour will have you wrinkling your nose in delight with each sip. Its luminous colour and its fruity freshness are a treat for taste-buds and eyes alike. A totally mouth-watering experience.",Itterbeek,Belgium,4.0,6.0,,,,"Cheese, Salad, Chocolate",,,,,,Belgian-Style Ale,,Timmermans
11424,111429,Tool Fuck Art This Is Advertising,8444,3.622,Beer,Ale,3,49,Submerge in our version of a rich and hoppy quadrupel. Rich and complex. This is advertising.,Copenhagen,Denmark,11.3,80.0,,,,"Spicy Thai curry, Grilled steak, Dark chocolate.",Snifter/Goblet/Chalice,55-60° F,12.8-15.6° C,Craft,,Belgian-Style Ale,Quadrupel,To Ol
11425,111430,To Ol Barrel Aged Snowball Saison,8444,4.865000000000002,Beer,Ale,3,53,It is a super sparkling crisp and dry Saison that has been after fermented with milk acid bacterias and dry hopped over and over to give the beer a crisp and smooth tart finish.,Copenhagen,Denmark,10.5,35.0,,,,"Spicy Thai curry, Grilled chicken, Lemon tart",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,To Ol
11426,111431,To Ol Fuck Art The Heathens Are Coming Farmhouse Ale,8444,4.835000000000001,Beer,Ale,3,53,"What is Saison / Farmhouse Ale?

Farmhouse ales, or Saisons, are a type of beer that originated in the French-speaking region of Belgium in the late 1700s. Saison translates to 'season' in french. They named this beer Saison because it was brewed in the colder months and drank in the summertime. Characterized by their light, fruity, spicy, and sometimes sour flavor profiles, with a moderate alcohol content. You'll find this beer varietal can range in color from pale yellow to dark amber and its aromas contain notes of citrus, pepper, and other spices. This is because they're often brewed with spices like coriander, pepper, and other herbs, and are served with a slice of orange. These beers are notably carbonated and have a finish that can be dry and hoppy.",Copenhagen,Denmark,6.5,35.0,,,,"Spicy Thai curry, Grilled chicken, Lemon tart",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,To Ol
11427,111432,Tool Fuck Art Let's Dance,8444,3.6299999999999994,Beer,Ale,3,58,"Fuck Art – Let’s Dance is a 8,3% Belgian Tripel aged on Saint Emillion Grand Cru oak barrels for 8 months (aka it’s red wine barrel aged) with lacto bacteria which gives notes of farm and leather. The oak barrels gives a vinous sweet vanilla oakyness and the yeast adds levels of fruit and flowers.",Copenhagen,Denmark,8.3,80.0,,,,"Spicy Thai food, Grilled steak, Dark chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Tripel,To Ol
11428,111433,To Ol Santas Secret Mochaccino Messiah Double Shot American Brown Ale,8444,3.7939999999999983,Beer,Ale,7,3,"Santa's Secret is our classic Mochaccino Messiah - and some. Injected full of coffee, this 8% beauty is both sweet and malty with hints of chocolate, a boost of caffeine and warm Christmas notes of Cinnamon and Cardamom to finish off. He is Scandinavian after all.",Copenhagen,Denmark,8.0,50.0,,,,"Chocolate desserts, BBQ ribs, Spicy chili",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Brown Ale,American Brown Ale,To Ol
11429,111434,To Øl Final Frontier Double IPA,8444,3.92,Beer,Ale,15,32,"he sequel to To Øls Hop devil ""First Frontier"" is here and the name is Final Frontier. It is a hoppy DIPA with a little more of everything compared to its predecessor. We recommend taking this baby into the wild!",Copenhagen,Denmark,9.0,90.0,,,,"Spicy Thai curry, Blue cheese, Grilled steak",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,To Ol
11430,111435,To Øl/ Mikkeller Ov-ral Double IPA,8444,4.42,Beer,Ale,15,32,"One of two sequels to the Mikkeller/To Øl collab “Overall IIPA”. The same beer base as Overall, but this time cleverly refermented with wild yeast (Primarily brettanomyces). The tart, funky and odorous aromas of the brett interact with the fruity and bitter palate of the IIPA and results in somewhat of a hybrid beer.",Copenhagen,Denmark,10.4,90.0,,,,"Spicy Thai curry, Blue cheese, Grilled steak",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,To Ol
11431,111436,To Ol Snowball Saison Ale,8445,4.849000000000001,Beer,Ale,3,53,"Enough heavy dark obnoxious sweet super malty x-mas and winter beers. When you eat heavy duck with fat gravy, the last thing you want is another heavy sweet malt liqour!  NO! you want something that can help you digest the dinner, ease you stommach and cleance your throat. And that is exactly what Snowball Saison will do. It is a SUPER sparkling crisp and dry Saison that has been refermented with milk acid bacterias and dry hopped over and over to give the beer a crisp and smooth tart finish (not to mention.... there is a lot of hops of course...)  Have a nice winter!",Copenhagen,Denmark,8.0,30.0,,,,"Spicy Thai food, Grilled chicken, Goat cheese",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,To Øl
11432,111437,To Øl Brett & Butter,8445,4.878999999999999,Beer,Ale,3,0,"We have taken a traditional Belgian Table Beer at 3,6%, and banged around as much Mosaic hops as we possible could in both the kettle and dry hopping, then fermented it with Brettanomyces Custersianus. This yeast together with the Mosaic hop has produced a much ‘fruitier’ characteristic than your traditional ‘funky’ Brett beers, all in all giving a refreshing, tropical fruit table beer fit for breakfast, lunch and dinner! “",Copenhagen,Denmark,6.5,35.0,,,,"Cheese, Charcuterie, Grilled Chicken",,,,,,Belgian-Style Ale,,To Øl
11434,111439,To Øl Dangerously Close to Stupid IPA,8445,4.118,Beer,Ale,15,32,"It would be dangerously close to stupid not to brew another batch of Dangerously Close To Stupid in To Øl City. This beast was the first DIPA that To Øl ever did, and after it blazed a trail of chaos all over the world for years, we are now giving it a second life as we rebrew it in To Øl City once more. This expression will be our take on the West Coast DIPA heavily focused on Citra and Centennial.",Copenhagen,Denmark,9.3,100.0,,,,"Spicy Thai curry, Blue cheese, Grilled pork ribs",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,To Øl
11435,111440,To Ol Double IPA Underground,8445,3.81,Beer,Ale,15,32,"A beer of gargantuan proportions. We have produced a double IPA chock-full of Centennial and Mosaic hops, a beer so powerful it will drive you ‘DIPA Underground’. At 8,5% ABV this beer is clean, well balanced and sure to have you dancing on cinema seats and dodging crashing helicopters no time!",Copenhagen,Denmark,8.5,90.0,,,,"Spicy Thai curry, Grilled steak, Dark chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,To Øl
11550,111555,Trois Dames Saison 1266 Farmhouse Ale,8558,4.801000000000003,Beer,Ale,3,53,"Freshly pressed Chasselas grapes were fermented and aged in oak with a Saison to create this collaboration beer between Brasserie Jolimont, Rebgut Hassenlauf, and Trois Dames. This collaboration was brewed to honor the 750th anniversary of the town of Erlach.",Sainte-Croix,Switzerland,6.5,26.0,,,,"Grilled chicken, Goat cheese, Spicy Thai curry",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,Trois Dames
